stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Kyang\source\repos\pi\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.08172] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08178] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08184] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08190] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08195] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08202] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08207] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08213] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08219] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08225] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08230] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08236] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08241] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08247] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08253] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08259] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08265] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08271] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08277] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08290] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08297] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08302] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08309] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08315] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08322] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08329] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08335] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08341] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08347] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08353] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08360] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08365] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08371] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08377] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08383] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08389] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08396] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08402] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08408] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08414] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08420] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08426] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08432] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08438] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08444] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08449] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08455] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08461] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08467] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08473] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08479] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08484] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08490] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08496] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08503] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08509] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08515] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08521] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08528] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08533] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08539] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08545] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08551] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08557] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08563] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08569] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08575] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08584] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08591] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08597] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08603] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08608] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08615] Single Buffer requirement not met.
