stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Kyang\source\repos\pi\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.06855] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06863] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06870] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06877] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06884] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06892] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06899] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06907] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06914] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06922] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06935] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06950] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06962] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06975] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06987] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06994] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07002] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07009] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07016] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07025] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07032] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07039] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07048] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07059] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07067] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07077] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07103] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07115] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07127] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07138] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07150] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07161] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07172] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07179] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07185] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07192] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07200] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07206] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07213] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07220] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07227] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07234] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07241] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07248] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07255] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07260] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07266] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07272] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07280] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07287] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07299] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07306] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07313] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07319] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07326] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07332] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07339] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07346] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07353] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07359] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07365] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07371] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07377] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07383] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07389] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07395] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07401] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07411] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07418] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07423] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07435] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07441] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07448] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07455] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07461] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07467] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07473] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07479] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07485] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07492] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07498] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07504] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.07512] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.07580] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.07587] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.11016] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.14494] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.14509] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.14524] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.14535] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.14550] Returning d3d_display: 0000021FC65897F0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.14560] al_display=0000021FC65897F0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.14572] al_display->vt=0000021FC679DA10
system   D            wsystem.c:834  maybe_parent_dir                 [   0.14602] Also searching C:\Users\Kyang\source\repos\pi\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.14638] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.14651] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.14872] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.14895] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.14922] added dtor for bitmap 0000021FC4D4AE30, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.14997] added dtor for bitmap 0000021FC4D64B50, func 00007FFD5418118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15380] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15398] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15410] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15420] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15429] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15441] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15452] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15461] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.15472] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.15485] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.15494] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.15504] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.15515] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15560] added dtor for bitmap 0000021FC4D64D40, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15634] added dtor for sub_bitmap 0000021FC6805930, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15645] added dtor for sub_bitmap 0000021FC6805B20, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15653] added dtor for sub_bitmap 0000021FC6805D10, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15663] added dtor for sub_bitmap 0000021FC4D78F50, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15669] added dtor for sub_bitmap 0000021FC4D79140, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15676] added dtor for sub_bitmap 0000021FC4D79330, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15682] added dtor for sub_bitmap 0000021FC4D79520, func 00007FFD5418118B
